recID,X,Y,Z,PopWH,PopOH
81,459608.3889,3752681.763,0,7.8,0
82,457956.6832,3758613.82,0,0,0
83,452927.6074,3756687.376,0,37.81,0
84,466809.4455,3756442.144,0,49.86,0
85,454002.4062,3751598.4,0,2.06,0
86,469671.5616,3754209.781,0,72.01,0
87,452767.0674,3756655.243,0,32.27,0
88,463367.9368,3755179.912,0,55.76,0
89,457531.1114,3755575.257,0,141.98,0
90,474107.8068,3751707.984,0,0,0
91,465893.3633,3756211.872,0,22.12,0
92,455325.9121,3759443.977,0,84.61,0
93,455047.6286,3750662.156,0,0,0
94,459369.9343,3752807.997,0,33.49,0
95,465821.6498,3760625.664,0,9.8,0
96,468704.3428,3748631.347,0,73.67,0
97,462610.2838,3755136.831,0,0,0
98,451492.3379,3757559.623,0,114.08,0
99,463759.3631,3757117.826,0,0,0
100,464402.984,3757504.353,0,144.5,0
101,465201.2687,3757389.322,0,34.86,0
102,465635.7774,3755365.884,0,18.8,0
103,455057.8333,3753046.467,0,0,0
104,469377.241,3751904.9,0,0,0
105,455755.5366,3750684.501,0,231.77,0
106,463665.3223,3756844.002,0,42.49,0
107,462554.7369,3749853.39,0,6.6,0
108,464761.315,3760692.997,0,26.23,0
109,467335.82,3759375.128,0,42.26,0
110,466272.0695,3762406.215,0,183.37,0
111,468868.6751,3760005.715,0,169.69,0
112,461140.7794,3757186.789,0,108.89,0
113,468698.9455,3749031.234,0,197.11,0
114,465407.2634,3761288.237,0,15.43,0
115,451529.1435,3752050.777,0,52.25,0
116,463665.4288,3755367.052,0,76.37,0
117,467596.5668,3762068.99,0,29.33,0
118,464528.6027,3750149.945,0,5.2,0
119,467264.1385,3749454.732,0,50.15,0
120,463561.0547,3748800.888,0,3,0
121,463621.904,3750251.878,0,42.52,0
122,454474.7499,3756903.112,0,122.15,0
123,465302.6061,3759645.998,0,7.61,0
124,456530.5414,3755589.315,0,78.79,0
125,456635.664,3759320.977,0,66.97,0
126,469831.4109,3749261.702,0,165.19,0
127,455856.8629,3759070.412,0,23.81,0
128,467811.0693,3754503.386,0,28.32,0
129,455026.6197,3759234.952,0,50.15,0
130,467964.8038,3751020.527,0,42.45,0
131,470426.0755,3760573.759,0,109.55,0
132,464816.6086,3755366.781,0,113.28,0
133,472133.9669,3750423.398,0,87.99,0
134,457201.0746,3752517.731,0,1,0
135,454980.3939,3753574.26,0,213.48,0
136,458086.1273,3753670.293,0,29.87,0
137,464304.2769,3755901.759,0,44.84,0
138,463912.1158,3759324.486,0,704.19,0
139,469462.6702,3756897.155,0,74.58,0
140,461832.3949,3751414.424,0,16.83,0
141,460777.7515,3756076.988,0,164.71,0
142,465208.3762,3756146.192,0,101.37,0
143,466328.9879,3761701.523,0,0,0
144,469493.7868,3757622.16,0,8.43,0
145,466818.2557,3761195.834,0,0,0
146,468044.097,3760818.206,0,19.75,0
147,471348.5142,3759681.571,0,0,0
148,457338.9703,3754905.625,0,133.15,0
149,460604.5051,3757138.796,0,141.84,0
150,459115.7232,3752985.365,0,46.13,0
151,456492.0591,3755279.015,0,41.61,0
152,464900.3052,3758801.278,0,0,0
153,465851.183,3759891.754,0,0,0
154,458765.9606,3757807.653,0,0,0
155,460039.6021,3757808.118,0,46.96,0
156,463886.4264,3760085.366,0,52.58,0
157,465548.8682,3761207.089,0,22.89,0
158,468013.6011,3761548.642,0,0,0
