_id,_x,_y
10297,1009786.3019264567,3764320.247184632
10298,1009725.5972803081,3764402.2745132414
10299,1015465.5027881516,3778427.4223560565
103,1007094.5478746756,3763700.965874457
1030,1019788.8772851327,3761575.183545986
10300,1013443.5990736405,3765232.548815246
10301,1010699.4385643215,3766694.473106018
10302,1009783.9180435068,3763865.0249578245
10303,1014726.4424394595,3775994.687168072
10304,1014743.3427408761,3775747.5751095214
10305,1025084.6145376479,3768922.679027048
10306,1006439.015825295,3765565.075234535
10307,1006416.7784154098,3765545.696806539
10308,1006259.5577418236,3765407.71640009
10309,1006025.7858631618,3765201.42466852
1031,1019923.5021470219,3761403.5670854184
10310,1005939.0589770547,3765127.7219864884
10311,1005747.7917455515,3765024.601919432
10312,1005668.4157282087,3765005.383106724
10313,1005225.1526314633,3764718.7436276204
10314,1005253.249493381,3764300.7272897614
10315,1005258.8874977733,3764289.577722915
10316,1023224.0732137626,3770048.73292617
10317,1023166.7572797888,3770013.1275024135
10318,1023126.5827193593,3769987.1168726915
10319,1010444.0273021011,3763964.1971070827
1032,1020673.8681307202,3759314.1302885762
10320,1020194.5776415118,3766324.7737211687
10321,1020223.0369645761,3766193.7874857504
10322,1011087.1268889233,3770624.191412852
10323,1010993.4314803684,3770826.514507399
10324,1005614.8383443758,3764223.7691106955
10325,1015608.5377087742,3777191.593624733
10326,1025543.3500862155,3773440.0716314744
10327,1019999.5753837102,3777781.056153808
10328,1014935.2260383837,3769298.2203478143
10329,1014811.9555959806,3769460.421821212
1033,1016922.3528520789,3768860.821344975
10330,1019754.438987828,3778610.6024045176
10331,1019749.8180510863,3778607.4174574204
10332,1019615.8797422609,3778600.1589160333
10333,1019602.1616381136,3778599.425327196
10334,1013551.6827115854,3775043.8344085915
10335,1014555.4051063806,3776718.576192966
10336,1014563.6907429143,3776714.1484633093
10337,1017554.0476769117,3768593.959730418
10338,1017513.7484892274,3769022.219484907
10339,1019589.4267809058,3772741.7263565217
1034,1016747.1111827514,3769086.7759852363
10340,1019609.3776371863,3772730.222436646
10341,1019632.4310236208,3772661.120542302
10342,1019637.6969358133,3772634.068911463
10343,1019614.7276999357,3772587.1814330276
10344,1020098.7658333613,3764165.581227681
10345,1020251.0521274423,3764621.701678243
10346,1020494.563118866,3763513.099995968
10347,1020240.3380960365,3763501.0595955933
10348,1020191.402096993,3763498.2401440204
10349,1011731.8985486066,3771096.950524983
1035,1016688.8293350113,3769148.5434868345
10350,1011695.7067244574,3771093.9889123407
10351,1016120.8808387404,3767660.3772159084
10352,1024951.0688170334,3767412.2058521677
10353,1025038.934657476,3767418.9729791577
10354,1025147.0945746027,3767427.1452810895
10355,1023216.6580541553,3769099.4911302514
10356,1007261.8541039708,3764062.0818576533
10357,1011558.6065969914,3774277.230892829
10358,1011519.5730060312,3774275.049645788
10359,1011475.3507901399,3774109.945515933
1036,1016641.689881851,3769211.1871133563
10360,1011463.7799666581,3774072.2231262885
10361,1011414.2407667767,3773978.18246326
10362,1011398.8684915954,3773301.3738190187
10363,1011403.7581804127,3773284.939931879
10364,1011427.909254861,3773163.8652644553
10365,1004147.4645812246,3769654.9766922314
10366,1010940.3984465809,3764990.3601414966
10367,1010837.7096442429,3764913.4068590784
10368,1010780.0697785281,3764842.660018655
10369,1010676.5176902298,3764754.0996977426
1037,1016598.5855402381,3769266.096716463
10370,1012244.0959924161,3762749.337164953
10371,1017195.6238175674,3769434.2153142346
10372,1016573.4388394463,3768882.6176198386
10373,1017441.5197885293,3769567.339149228
10374,1017621.363948571,3769750.466067923
10375,1017601.4452500441,3769734.5362119237
10376,1017573.852667351,3769714.944459575
10377,1004462.7704057074,3764173.968620391
10378,1015200.8220713777,3775432.6105545727
10379,1015190.4478201079,3775434.9855039613
1038,1016556.521568893,3769320.3279538574
10380,1015172.1726212993,3775439.1351273535
10381,1015142.8282729946,3775445.8112491285
10382,1014821.1948843015,3775519.7626435123
10383,1014802.2371376562,3775523.6751624485
10384,1014752.6607468717,3775532.802876954
10385,1014742.8972517245,3775535.044470127
10386,1014733.9563443544,3775536.4953850904
10387,1014279.1972556505,3775528.2969746226
10388,1010841.7635586143,3776739.728050577
10389,1022666.3532328533,3768799.503835771
1039,1016525.6174044581,3769296.370066738
10390,1012514.2249954697,3767332.5685890475
10391,1012502.5503055485,3767575.4544525044
10392,1026330.9069837607,3767522.6981966156
10393,1026332.0952309027,3767505.5041687707
10394,1026339.5075560457,3767395.41380764
10395,1026354.845047212,3767121.5536602624
10396,1019676.2905368947,3772673.849601461
10397,1019697.3020466195,3772828.39029509
10398,1019690.4948144867,3772835.1910151937
10399,1019913.8520591579,3772716.821694082
104,1007078.351401389,3763688.570696823
1040,1016496.4192396242,3769333.512217985
10400,1019889.8428970438,3772603.3164843414
10401,1018538.6111093508,3773116.6172007415
10402,1018183.6014912808,3773290.2495928346
10403,1020759.2215151519,3763596.9032971747
10404,1020666.9958536212,3771505.0526550035
10405,1025759.1790407059,3778120.87710324
10406,1025705.028458436,3778117.6471602973
10407,1025587.1449588,3778110.6319738072
10408,1023058.9242795061,3777976.735411636
10409,1023017.1191050868,3777974.4618577054
1041,1016462.760280705,3769376.337751404
10410,1022228.4152585235,3770768.2711287304
10411,1017514.5811869989,3762273.309474228
10412,1017702.964150728,3762431.4423383647
10413,1017721.5827251747,3762459.085467692
10414,1024137.8231075954,3772337.4194882237
10415,1024846.8096069656,3767689.877039835
10416,1015303.092469509,3777924.8997310074
10417,1017698.6939865649,3772081.2602598434
10418,1020786.7421415884,3778144.0317157316
10419,1020780.1699742491,3777804.9670397746
1042,1016451.5301515142,3769390.3524219817
10420,1020779.0459171955,3777739.446513698
10421,1020778.1022137089,3777687.1279249853
10422,1020775.9445060869,3777580.6597285615
10423,1020772.6668113616,3777457.4949508896
10424,1020772.558280753,3777445.845719576
10425,1019080.8314639494,3770304.602121336
10426,1018878.3667539739,3770110.439963188
10427,1020175.5163126006,3763788.369324917
10428,1020174.6436401696,3763805.6239558207
10429,1015715.5859096795,3772017.2461104775
1043,1015425.8861266458,3769149.33409138
10430,1023596.8744511884,3768367.9594565355
10431,1023702.3502840166,3768513.5081725507
10432,1014662.4262292241,3771971.400548689
10433,1014749.8655177625,3771777.862215357
10434,1014754.2784833575,3771686.093461605
10435,1014759.730449632,3771593.824275596
10436,1014760.3879581881,3771576.6369300582
10437,1020725.1394517759,3772947.8078881656
10438,1020423.6979926011,3773093.72291079
10439,1020159.7622729264,3773217.689457997
1044,1015174.8649470194,3769479.968560587
10440,1008230.171646818,3769694.2225065734
10441,1022014.760071895,3778773.9281859472
10442,1021377.2757121482,3780197.219823281
10443,1012344.4347219871,3770223.480959687
10444,1012125.5541791497,3770209.641779602
10445,1008800.6425092223,3766270.7431191946
10446,1009061.5233094392,3766176.091325042
10447,1009118.7742000241,3766140.4161344594
10448,1009161.9856941053,3766113.3320860495
10449,1009177.6977842366,3766103.694960297
1045,1026428.8258311397,3767400.491713397
10450,1009225.2566417361,3766073.8373211767
10451,1009235.79080073,3766067.2301660944
10452,1009322.6208336587,3766012.6059641703
10453,1005171.3665408848,3764075.800092724
10454,1005406.0821201215,3764146.8596523935
10455,1015788.4985854538,3766690.821984435
10456,1015786.5788401124,3766694.3492179043
10457,1013579.0767631282,3762281.7645479375
10458,1011298.9861233794,3766481.0036215684
10459,1011155.1576639079,3766373.9172938927
1046,1026441.5013842938,3767167.1988289254
10460,1010936.4902855253,3766253.01468255
10461,1010913.4984629056,3766235.900268712
10462,1016579.5230346156,3776720.493474388
10463,1004265.2639636989,3760899.7473831074
10464,1004448.414440249,3761027.760927249
10465,1020188.9170730344,3767352.42803184
10466,1019873.5434928272,3767522.2783671413
10467,1019817.8826619426,3767559.2525345315
10468,1019809.6887662854,3767571.2920490713
10469,1019607.4670284258,3762505.716111073
1047,1010088.900941408,3765672.7068360215
10470,1010339.884302608,3764365.6871415493
10471,1010282.5690572222,3764360.3612284814
10472,1010225.8299713939,3764328.1206218535
