"longtitue.x","latitude.x","longtitue.y","latitude.y","Count"
-117.302896,33.949556,-117.50298,33.893499,6
-117.306812,33.956962,-117.298327,33.946599,53
-117.306812,33.956962,-117.50298,33.893499,2
-117.306812,33.956962,-117.313174,33.960619,45
-117.286767,33.916787,-117.313174,33.960619,42
-117.286767,33.916787,-117.50298,33.893499,6
-117.286767,33.916787,-117.298327,33.946599,44
-117.471432,33.9242758,-117.298327,33.946599,38
-117.471432,33.9242758,-117.313174,33.960619,48
-117.471432,33.9242758,-117.50298,33.893499,3
-117.4792163,33.9425728,-117.313174,33.960619,11
-117.4726753,33.9442133,-117.298327,33.946599,4
-117.4719871,33.9429465,-117.313174,33.960619,3
-117.4816643,33.9380873,-117.313174,33.960619,4
-117.4838929,33.9436925,-117.50298,33.893499,1
-117.4838929,33.9436925,-117.298327,33.946599,4
-117.454475,33.940399,-117.50298,33.893499,1
-117.4625761,33.9390498,-117.298327,33.946599,5
-117.4838929,33.9436925,-117.313174,33.960619,4
-117.454475,33.940399,-117.313174,33.960619,14
-117.4792163,33.9425728,-117.298327,33.946599,11
-117.4719871,33.9429465,-117.50298,33.893499,1
-117.454475,33.940399,-117.298327,33.946599,8
-117.4797514,33.940831,-117.313174,33.960619,3
-117.278804,33.931451,-117.298327,33.946599,38
-117.278804,33.931451,-117.50298,33.893499,8
-117.278804,33.931451,-117.313174,33.960619,42
-117.3894653,33.9554157,-117.298327,33.946599,28
-117.3981992,33.94728,-117.298327,33.946599,6
-117.3894653,33.9554157,-117.313174,33.960619,30
-117.3981992,33.94728,-117.313174,33.960619,7
-117.3879359,33.9578392,-117.313174,33.960619,5
-117.3752424,33.9747784,-117.298327,33.946599,5
-117.3754942,33.9806005,-117.50298,33.893499,5
-117.3754942,33.9806005,-117.298327,33.946599,31
-117.3754942,33.9806005,-117.313174,33.960619,27
-117.3752424,33.9747784,-117.313174,33.960619,10
-117.4694322,33.905076,-117.313174,33.960619,10
-117.4692157,33.9046999,-117.313174,33.960619,14
-117.47316,33.901713,-117.313174,33.960619,9
-117.4694322,33.905076,-117.298327,33.946599,4
-117.4708385,33.9035631,-117.313174,33.960619,9
-117.4692157,33.9046999,-117.298327,33.946599,8
-117.3831963,33.9536707,-117.298327,33.946599,8
-117.3936474,33.9415309,-117.298327,33.946599,16
-117.3866855,33.9335269,-117.313174,33.960619,4
-117.3936474,33.9415309,-117.313174,33.960619,9
-117.3866855,33.9335269,-117.50298,33.893499,1
-117.3831963,33.9536707,-117.313174,33.960619,14
-117.3866855,33.9335269,-117.298327,33.946599,11
-117.4537962,33.9481533,-117.313174,33.960619,25
-117.4537962,33.9481533,-117.298327,33.946599,23
-117.4537962,33.9481533,-117.50298,33.893499,3
-117.4457832,33.9478299,-117.50298,33.893499,1
-117.4429686,33.9548565,-117.313174,33.960619,1
-117.43901,33.9459103,-117.313174,33.960619,3
-117.339377,33.925524,-117.50298,33.893499,8
-117.339377,33.925524,-117.313174,33.960619,24
-117.339377,33.925524,-117.298327,33.946599,25
-117.4880626,33.9167074,-117.298327,33.946599,26
-117.4880626,33.9167074,-117.313174,33.960619,26
-117.4880626,33.9167074,-117.50298,33.893499,4
-117.435561,33.945225,-117.313174,33.960619,28
-117.435561,33.945225,-117.298327,33.946599,26
-117.435561,33.945225,-117.50298,33.893499,2
-117.437558,33.9151042,-117.50298,33.893499,1
-117.4350657,33.9072337,-117.298327,33.946599,3
-117.4456357,33.9059509,-117.313174,33.960619,6
-117.4382016,33.9142564,-117.313174,33.960619,4
-117.4350657,33.9072337,-117.313174,33.960619,3
-117.437558,33.9151042,-117.298327,33.946599,6
-117.4382016,33.9142564,-117.298327,33.946599,3
-117.437558,33.9151042,-117.313174,33.960619,2
-117.4373686,33.9141769,-117.313174,33.960619,10
-117.4308943,33.9104741,-117.50298,33.893499,1
-117.4803909,33.9086859,-117.313174,33.960619,26
-117.4803909,33.9086859,-117.50298,33.893499,4
-117.4803909,33.9086859,-117.298327,33.946599,24
-117.3377268,33.9793656,-117.50298,33.893499,4
-117.3377268,33.9793656,-117.313174,33.960619,19
-117.3377268,33.9793656,-117.298327,33.946599,29
-117.4922942,33.9031295,-117.298327,33.946599,8
-117.4922942,33.9031295,-117.313174,33.960619,7
-117.4914387,33.9008021,-117.298327,33.946599,5
-117.4914387,33.9008021,-117.313174,33.960619,6
-117.4926427,33.9012981,-117.298327,33.946599,5
-117.4925676,33.9012052,-117.298327,33.946599,7
-117.4925676,33.9012052,-117.313174,33.960619,8
-117.4925676,33.9012052,-117.50298,33.893499,1
-117.4926427,33.9012981,-117.50298,33.893499,1
-117.339904,34.015717,-117.313174,33.960619,25
-117.339904,34.015717,-117.50298,33.893499,2
-117.339904,34.015717,-117.298327,33.946599,25
-117.4253527,33.9417597,-117.313174,33.960619,3
-117.4266,33.9400173,-117.313174,33.960619,5
-117.4253527,33.9417597,-117.50298,33.893499,1
-117.4145554,33.9457636,-117.298327,33.946599,2
-117.4266,33.9400173,-117.298327,33.946599,2
-117.409066,33.9450557,-117.298327,33.946599,10
-117.409066,33.9450557,-117.313174,33.960619,4
-117.3616014,33.9829496,-117.313174,33.960619,19
-117.3698051,33.9776748,-117.50298,33.893499,3
