"id","WH_0_5","WH_5_9","WH_10_14","WH_15_29","WH_30_64","WH_65up"
"60650303003015",0.4,0.03,0.03,3,3,0
"60650303004000",0,0,0,0,0,0
"60650303004001",1.6,0.09,0.03,10,10,1.6
"60650303004002",4,0.24,0.12,21,21,2.4
"60650303004003",0.4,0.03,0.06,16,16,2.4
"60650303004006",0,0,0,0,0,0
"60650303004007",0,0,0,0,0,0
"60650303004008",0,0,0,0,0,0
"60650303004009",4.8,0.39,0.12,22,22,0.8
"60650303004010",0.8,0.09,0.03,5,5,0
"60650303004011",2,0.03,0.09,17,17,2.4
"60650303004013",0,0,0.03,2,2,0
"60650303004014",0,0,0,0,0,0
"60650303004015",0,0,0,0,0,0
"60650303004016",0,0,0,0,0,0
"60650303004017",0,0,0,0,0,0
"60650303004018",0,0,0,0,0,0
"60650303004019",0,0,0,0,0,0
"60650303004020",0,0,0,0,0,0
"60650303004021",0,0,0,0,0,0
"60650303004022",0,0,0,0,0,0
"60650303004023",0,0,0,0,0,0
"60650303004025",0.4,0.03,0.03,2,2,104
"60650303004027",0,0,0,0,0,0
"60650303004028",0,0,0,0,0,0
"60650303004004",0.8,0.21,0.09,12,12,0
"60650303004005",1.2,0.03,0.15,14,14,0.8
"60650303004012",0,0.03,0,0,0,0
"60650303004024",2,0.03,0.09,15,15,0.8
"60650303004026",0,0.03,0,4,4,0.8
"60650303005008",8.4,0.39,0.51,56,56,4.8
"60650303005000",2.4,0.12,0.06,24,24,4.8
"60650303005002",3.6,0.33,0.27,35,35,8
"60650303005003",0,0,0,0,0,0
"60650303005004",0,0,0,0,0,0
"60650303005005",3.6,0.18,0.27,23,23,4.8
"60650303005006",2.8,0,0,26,26,4.8
"60650303005007",0,0,0,0,0,0
"60650303005010",3.6,0,0,18,18,4.8
"60650303005011",3.6,0.12,0.18,21,21,4.8
"60650303005012",5.2,0.18,0,28,28,3.2
"60650303005001",3.6,0.27,0.27,22,22,1.6
"60650303005009",3.6,0.06,0.06,27,27,1.6
"60650304001018",0,0,0,0,0,0
"60650304001019",0,0,0,0,0,0
"60650304001020",0,0,0,0,0,0
