,schools_name,schools_enrollment,schools_adress,schools_adress_url,Latitude,Longitude
90,Woodcrest Montessori Education Center,43,"16191 Washington Street, Riverside, CA 92504",https://www.greatschools.org/california/riverside/21615-Woodcrest-Montessori-Education-Center/#Neighborhood,33.8845783,-117.3666282
91,My Little School House,?,"1736 E La Cadena Dr, Riverside, CA 92501",https://www.greatschools.org/california/riverside/21616-My-Little-School-House/#Neighborhood,33.9959561,-117.3549224
92,Casa Blanca Head Start,?,"3020 Madison St, Riverside, CA 92504",https://www.greatschools.org/california/riverside/21618-Casa-Blanca-Head-Start/#Neighborhood,33.9309611,-117.4010813
93,U Cal-Riverside Chldrn's Center,?,"3333 Watkins Drive, Riverside, CA 92507",https://www.greatschools.org/california/riverside/21619-U-Cal-Riverside-Chldrns-Center/#Neighborhood,33.9823854,-117.3256318
94,RSCS-Noah's Ark Child Development Center,?,"3600 Park Ave, Riverside, CA 92507",https://www.greatschools.org/california/riverside/21620-RSCS-Noahs-Ark-Child-Development-Center/#Neighborhood,33.9788046,-117.3631395
95,Salvation Army Pre-School,?,"3695 1st Street, Riverside, CA 92501",https://www.greatschools.org/california/riverside/21621-Salvation-Army-Pre-School/#Neighborhood,33.9888127,-117.3686709
96,Carolyn E. Wylie Center for Children - Grant,?,"4011 14th St, Riverside, CA 92501",https://www.greatschools.org/california/riverside/21622-Carolyn-E.-Wylie-Center-For-Children---Grant/#Neighborhood,33.9782678,-117.3820743
97,YMCA of Riverside City & County,?,"4020 Jefferson St, Riverside, CA 92504",https://www.greatschools.org/california/riverside/21623-YMCA-Of-Riverside-City--County/#Neighborhood,33.9403387,-117.4204939
98,Riverside Ymca Child Care Center-Jackson,?,"4585 Jackson Street, Riverside, CA 92503",https://www.greatschools.org/california/riverside/21624-Riverside-Ymca-Child-Care-Center-Jackson/#Neighborhood,33.93685,-117.4485268
99,First Christian Nursery School,?,"4055 Jurupa Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/21625-First-Christian-Nursery-School/#Neighborhood,33.9614046,-117.3957724
