"origin_x","origin_y","dest_x","dest_y","count"
-117.30683,33.95695,-117.278857,33.937626,14
-117.30683,33.95695,-117.489183,33.893928,1
-117.30683,33.95695,-117.3267906,33.9164385,5
-117.30683,33.95695,-117.3609226,33.9798234,2
-117.30683,33.95695,-117.3831963,33.9536707,4
-117.30683,33.95695,NA,NA,26
-117.30683,33.95695,-117.4692157,33.9046999,1
-117.30683,33.95695,-117.4365581,33.9306479,2
-117.30683,33.95695,-117.288375,33.929359,5
-117.30683,33.95695,-117.383373,33.901607,7
-117.30683,33.95695,-117.4925676,33.9012052,3
-117.30683,33.95695,-117.285819,33.931397,7
-117.30683,33.95695,-117.460673,33.884688,5
-117.30683,33.95695,-117.3325532,33.8868031,2
-117.30683,33.95695,-117.2929526,33.938787,3
-117.30683,33.95695,-117.3747216,33.9608756,1
-117.30683,33.95695,-117.371547,34.0117879,4
-117.30683,33.95695,-117.3649157,33.9071677,1
-117.30683,33.95695,-117.36297,34.023906,23
-117.30683,33.95695,-117.322589,33.870444,1
-117.30683,33.95695,-117.3754942,33.9806005,7
-117.30683,33.95695,-117.4086693,33.9190995,2
-117.30683,33.95695,-117.3712489,33.9821765,1
-117.30683,33.95695,-117.4973583,33.9189099,2
-117.30683,33.95695,-117.289409,33.916764,8
-117.30683,33.95695,-117.4456357,33.9059509,2
-117.30683,33.95695,-117.43901,33.9459103,1
-117.30683,33.95695,-117.29651,33.916688,9
-117.30683,33.95695,-117.4073172,33.9244578,14
-117.30683,33.95695,-117.4512317,33.9108842,4
-117.30683,33.95695,-117.454475,33.940399,1
-117.30683,33.95695,-117.318275,33.9134365,2
-117.30683,33.95695,-117.3485704,33.9729069,9
-117.30683,33.95695,-117.3228471,33.8861291,4
-117.30683,33.95695,-117.4942955,33.8936093,1
-117.30683,33.95695,-117.3017381,33.9412,3
-117.30683,33.95695,-117.4792163,33.9425728,6
-117.30683,33.95695,-117.4275789,33.9111012,1
-117.30683,33.95695,-117.3894653,33.9554157,10
-117.30683,33.95695,-117.3931516,33.9501484,1
-117.30683,33.95695,-117.416779,33.9238116,10
-117.393505,34.005081,-117.4040737,33.9372209,3
-117.393505,34.005081,-117.28752,33.916393,80
-117.393505,34.005081,-117.3476454,34.0012454,4
-117.393505,34.005081,-117.339906,34.01894,123
-117.393505,34.005081,-117.313174,33.960619,848
-117.393505,34.005081,-117.302164,33.887499,21
-117.393505,34.005081,-117.298327,33.946599,724
-117.393505,34.005081,-117.394269,34.005202,119
