"x_start","y_start","x_end","y_end","Count"
-117.409066,33.9450557,-117.301849,33.947768,1
-117.344088,34.013247,-117.274329,33.94171,9
-117.393505,34.005081,-117.298327,33.946599,20
-117.344088,34.013247,-117.313174,33.960619,12
-117.501616,33.893848,-117.313174,33.960619,24
-117.501616,33.893848,-117.28752,33.916393,7
-117.4582163,33.9525436,-117.313174,33.960619,1
-117.393505,34.005081,-117.331311,33.858157,1
-117.4803909,33.9086859,-117.274329,33.94171,1
-117.393505,34.005081,-117.313174,33.960619,17
-117.4577121,33.9103528,-117.274329,33.94171,1
-117.344058,34.016189,-117.298327,33.946599,3
-117.344088,34.013247,-117.466508,33.967175,1
-117.344088,34.013247,-117.28752,33.916393,3
-117.4792163,33.9425728,-117.274329,33.94171,1
-117.501616,33.893848,-117.466508,33.967175,5
-117.306812,33.956962,-117.298327,33.946599,5
-117.393505,34.005081,-117.3981992,33.94728,1
-117.45699,33.909612,-117.352886,33.883505,1
-117.36297,34.023906,-117.298327,33.946599,1
-117.36297,34.023906,-117.339906,34.01894,1
-117.344058,34.016189,-117.50298,33.893499,1
-117.306812,33.956962,-117.50298,33.893499,2
-117.3879359,33.9578392,-117.394269,34.005202,1
-117.4993962,33.8973871,-117.302164,33.887499,1
-117.501616,33.893848,-117.3019104,33.9466705,1
-117.407558,33.885913,-117.28752,33.916393,1
-117.4537962,33.9481533,-117.352886,33.883505,1
-117.36297,34.023906,-117.313174,33.960619,3
-117.501616,33.893848,-117.274329,33.94171,17
-117.393505,34.005081,-117.394269,34.005202,4
-117.393505,34.005081,-117.339906,34.01894,9
-117.344088,34.013247,-117.276351,33.941938,1
-117.45699,33.909612,-117.298327,33.946599,1
-117.471432,33.9242758,-117.50298,33.893499,1
-117.4792163,33.9425728,-117.313174,33.960619,2
-117.501616,33.893848,-117.339906,34.01894,7
-117.501616,33.893848,-117.3562939,33.988853,1
-117.4365581,33.9306479,-117.50298,33.893499,1
-117.393505,34.005081,-117.3019104,33.9466705,2
-117.4952891,33.9205901,-117.394269,34.005202,1
-117.501616,33.893848,-117.50298,33.893499,15
-117.393505,34.005081,-117.3571733,33.9777844,1
-117.461024,33.956617,-117.274329,33.94171,1
-117.4322703,33.9161936,-117.298327,33.946599,1
-117.45699,33.909612,-117.50298,33.893499,2
-117.5016599,33.8946854,-117.302164,33.887499,1
-117.393505,34.005081,-117.28752,33.916393,2
-117.4091836,33.9674564,-117.3280645,34.0032736,1
-117.4348214,33.9193208,-117.274329,33.94171,1
-117.501616,33.893848,-117.3506642,33.9767725,1
-117.454475,33.940399,-117.4323564,33.9628655,1
-117.4646337,33.9156083,-117.313174,33.960619,1
-117.501616,33.893848,-117.394269,34.005202,14
-117.471432,33.9242758,-117.298327,33.946599,2
-117.4030863,33.9625981,-117.394269,34.005202,1
-117.36297,34.023906,-117.274329,33.94171,1
-117.4348214,33.9193208,-117.50298,33.893499,2
-117.506306,33.900313,-117.274329,33.94171,2
-117.501616,33.893848,-117.302164,33.887499,1
-117.393505,34.005081,-117.374694,34.000359,1
-117.393505,34.005081,-117.302164,33.887499,2
-117.3894653,33.9554157,-117.339906,34.01894,1
-117.4925676,33.9012052,-117.50298,33.893499,1
-117.344088,34.013247,-117.306906,33.887547,1
-117.407558,33.885913,-117.302164,33.887499,1
-117.4373686,33.9141769,-117.4922942,33.9031295,1
-117.4646337,33.9156083,-117.274329,33.94171,1
-117.344088,34.013247,-117.50298,33.893499,10
-117.4816643,33.9380873,-117.339906,34.01894,1
-117.344088,34.013247,-117.339906,34.01894,3
-117.4365581,33.9306479,-117.394269,34.005202,1
-117.5063986,33.9258906,-117.50298,33.893499,1
-117.4195246,33.9568324,-117.306906,33.887547,1
-117.4730342,33.9290597,-117.313174,33.960619,1
-117.36297,34.023906,-117.50298,33.893499,3
-117.306812,33.956962,-117.313174,33.960619,2
-117.393505,34.005081,-117.3485704,33.9729069,1
-117.4537962,33.9481533,-117.4323564,33.9628655,1
-117.501616,33.893848,-117.3476454,34.0012454,1
-117.344088,34.013247,-117.36297,34.023906,1
-117.4372185,33.9659294,-117.274329,33.94171,1
-117.306812,33.956962,-117.394269,34.005202,1
-117.3894653,33.9554157,-117.274329,33.94171,1
-117.409066,33.9450557,-117.28752,33.916393,1
-117.501616,33.893848,-117.330895,33.9581516,1
-117.4030863,33.9625981,-117.28752,33.916393,1
-117.344088,34.013247,-117.352886,33.883505,3
-117.4145554,33.9457636,-117.394269,34.005202,1
-117.3894653,33.9554157,-117.306906,33.887547,2
-117.393505,34.005081,-117.3249183,33.8888891,2
-117.36297,34.023906,-117.394269,34.005202,4
-117.4803909,33.9086859,-117.339906,34.01894,1
-117.45699,33.909612,-117.274329,33.94171,2
-117.501616,33.893848,-117.29651,33.916688,1
-117.501616,33.893848,-117.3831963,33.9536707,1
-117.4365581,33.9306479,-117.274329,33.94171,1
-117.344088,34.013247,-117.285819,33.931397,1
-117.306812,33.956962,-117.28752,33.916393,1
-117.471432,33.9242758,-117.394269,34.005202,2
-117.4372747,33.9328116,-117.298327,33.946599,1
